frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10200000000000001,0.014000000000000002,0.038,0.022,0.096,0.0,0.0,0.0,0.0,0.05,0.174,0.0
1,0.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.078,0.018,0.024,0.028000000000000004,0.09,0.0,0.0,0.0,0.0,0.054000000000000006,0.152,0.002
2,0.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.01,0.0,0.072,0.026000000000000002,0.024,0.03,0.08399999999999999,0.0,0.0,0.0,0.0,0.064,0.148,0.002
3,0.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.028000000000000004,0.0,0.0,0.016,0.0,0.076,0.032,0.032,0.028000000000000004,0.074,0.0,0.0,0.0,0.0,0.06999999999999999,0.154,0.0
4,0.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.016,0.0,0.096,0.036,0.041999999999999996,0.03,0.08,0.0,0.0,0.004,0.0,0.062,0.158,0.0
5,0.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.026000000000000002,0.0,0.086,0.032,0.044,0.03,0.08,0.0,0.0,0.004,0.0,0.054000000000000006,0.148,0.0
6,0.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.024,0.0,0.092,0.044,0.046,0.026000000000000002,0.08,0.0,0.0,0.006,0.0,0.052000000000000005,0.144,0.0
7,0.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.032,0.0,0.096,0.05,0.048,0.02,0.064,0.0,0.002,0.01,0.0,0.05,0.126,0.006
8,0.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.02,0.0,0.10400000000000001,0.044,0.04,0.016,0.05600000000000001,0.0,0.01,0.008,0.006,0.054000000000000006,0.11599999999999999,0.006
9,0.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.016,0.0,0.08,0.024,0.036,0.018,0.054000000000000006,0.0,0.024,0.006,0.014000000000000002,0.052000000000000005,0.10400000000000001,0.006
10,0.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.014000000000000002,0.0,0.066,0.01,0.034,0.022,0.054000000000000006,0.0,0.041999999999999996,0.0,0.014000000000000002,0.064,0.096,0.0
