frame,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU18,AU20,AU23,AU24,AU25,AU26,AU27,AU43
0,0.08235242,1.434237e-07,0.12581,0.94723,0.07809576,0.06309766,0.07533181,0.05047242,0.05330201,0.05180785,0.02832131,0.04583289,0.01522546,0.09343469,0.0151294,0.02317003,0.2314,0.08444297,0.05050473,0.05062638
1,0.08160049,1.424365e-07,0.1269878,0.9361699,0.07792844,0.06365485,0.07533334,0.05063488,0.05316686,0.05194997,0.02833199,0.04634897,0.01522288,0.09834189,0.01560865,0.0232183,0.2304236,0.08467767,0.05050055,0.0506204
2,0.08073394,1.400012e-07,0.1247934,0.9165225,0.07787825,0.0641369,0.07532098,0.05059228,0.0532721,0.05204246,0.02841109,0.04887827,0.01522309,0.1007085,0.01556852,0.02329503,0.2288322,0.08486782,0.0505005,0.05061145
3,0.08134691,1.42305e-07,0.122813,0.9109153,0.07777993,0.06467185,0.07530809,0.05043605,0.05339657,0.05203704,0.02849175,0.0576166,0.01522447,0.1016289,0.01548423,0.02336859,0.2263556,0.08517757,0.05049427,0.05060754
4,0.08214681,1.453943e-07,0.1211772,0.905995,0.07777653,0.06533754,0.07529781,0.05027829,0.05382448,0.05204777,0.02853999,0.06352064,0.01522574,0.1026359,0.01548093,0.02336611,0.2258534,0.08558348,0.05049389,0.05060371
5,0.08233431,1.4411e-07,0.1198191,0.895896,0.07736208,0.06708548,0.07529591,0.05012206,0.05390666,0.05205972,0.02857135,0.06810886,0.0152324,0.1026524,0.0154894,0.02335523,0.2217487,0.08591534,0.05048917,0.05059082
6,0.08267108,1.426156e-07,0.119286,0.8852608,0.07696522,0.06830805,0.07529664,0.05018023,0.05403432,0.05203761,0.02860557,0.07627729,0.01523595,0.1023666,0.01577182,0.02331493,0.2182828,0.08604337,0.05048646,0.05057986
7,0.08343919,1.445241e-07,0.1180186,0.874667,0.07689135,0.06884492,0.07529471,0.05015213,0.05434391,0.05205057,0.02858219,0.08311652,0.01524039,0.1016545,0.01600419,0.02329595,0.2153292,0.08613733,0.05048167,0.05056846
8,0.08596063,0.0002774924,0.1168179,0.8663891,0.07679803,0.06944336,0.07529297,0.05018737,0.05459395,0.05207501,0.0285744,0.09146776,0.0152443,0.1011389,0.01620368,0.02330289,0.2119013,0.08630906,0.05047583,0.05055582
9,0.08937731,0.0013662,0.115719,0.8591024,0.07672071,0.07004197,0.07529333,0.05024516,0.05481087,0.05209685,0.02856503,0.09967241,0.01524902,0.1007446,0.01637406,0.0233021,0.2085312,0.08646406,0.05047213,0.05054593
10,0.09757139,0.004715058,0.1147483,0.8513467,0.07662316,0.07065634,0.07529443,0.05032203,0.05483845,0.05209363,0.02854836,0.1081623,0.01525323,0.1001668,0.01651046,0.02326917,0.2042546,0.08654411,0.05047141,0.05053617
11,0.108271,0.01423294,0.1141928,0.8436056,0.07650027,0.07140507,0.0752986,0.05022866,0.05477463,0.05207536,0.02855102,0.1166616,0.01525513,0.09956422,0.01659612,0.02319668,0.1998668,0.08651251,0.05047665,0.05052949
12,0.1216292,0.03080575,0.1150967,0.8337641,0.07651989,0.0719236,0.07530865,0.0501719,0.05476493,0.05208999,0.02856483,0.125944,0.01526044,0.09938293,0.01665047,0.02320484,0.197009,0.08628941,0.05049067,0.05052049
